draw_size,match_num,winner_ht,winner_age,loser_ht,loser_age,winner_rank,winner_rank_points,loser_rank,loser_rank_points,target,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,winner_hand_L,winner_hand_R,winner_hand_U,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,loser_hand_L,loser_hand_R,loser_hand_U
128,171,191.0,20.6,193.0,22.0,53.0,879.0,8.0,3625.0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
32,30,180.0,25.2,175.0,31.8,54.0,860.0,4.0,5440.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
128,1133,193.0,20.7,191.0,23.9,6.0,4080.0,116.0,493.0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
128,30,190.0,26.1,190.0,31.9,36.0,1125.0,216.0,226.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
16,261,206.0,36.6,193.0,26.5,24.0,1991.0,238.0,264.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,26,193.0,26.7,180.0,27.3,109.0,510.0,53.0,815.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,23,208.0,32.0,206.0,25.9,174.0,330.0,29.0,1255.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,284,183.0,34.2,183.0,37.5,51.0,956.0,191.0,277.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
28,9,194.0,28.4,190.0,30.2,56.0,819.0,38.0,1110.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,25,188.0,29.8,206.0,27.2,27.0,1395.0,11.0,2620.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,294,180.0,28.2,188.0,26.5,66.0,715.0,101.0,580.0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
28,4,193.0,26.9,183.0,24.9,103.0,538.0,111.0,509.0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
64,258,183.0,27.9,188.0,28.2,17.0,2015.0,50.0,903.0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
64,281,196.0,23.9,193.0,26.7,29.0,1735.0,193.0,340.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,60,183.0,27.4,193.0,26.6,19.0,1730.0,98.0,553.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
28,19,185.0,32.0,188.0,24.6,72.0,651.0,78.0,631.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
128,21,183.0,26.0,180.0,33.1,120.0,463.0,19.0,1710.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
64,281,193.0,24.0,185.0,30.4,7.0,4650.0,46.0,975.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,6,180.0,23.6,183.0,32.4,100.0,555.0,81.0,658.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,293,211.0,21.8,206.0,34.2,57.0,937.0,14.0,2290.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
96,52,185.0,27.7,190.0,25.1,9.0,2905.0,83.0,632.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
128,202,180.0,25.4,183.0,30.7,13.0,2570.0,49.0,899.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
128,105,180.0,23.8,198.0,22.5,174.0,296.0,50.0,840.0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
32,287,185.0,19.4,185.0,26.3,27.0,1461.0,89.0,595.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
56,33,183.0,29.9,190.0,25.0,8.0,2975.0,52.0,943.0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
4,4,196.0,22.7,190.0,32.9,51.0,965.0,169.0,305.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
32,271,188.0,21.7,185.0,29.1,43.0,1001.0,65.0,749.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
48,15,180.0,28.8,178.0,20.5,124.0,424.0,196.0,247.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,18,183.0,26.2,178.0,26.0,23.0,1475.0,83.0,611.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,21,196.0,30.0,188.0,24.4,5.0,4840.0,26.0,1405.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
96,89,188.0,34.9,183.0,28.2,18.0,1925.0,13.0,2300.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
32,11,178.0,25.8,180.0,31.6,124.0,453.0,89.0,565.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
32,277,188.0,28.8,186.4135888205448,20.7,31.0,1255.0,1512.0,3.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
96,94,190.0,24.8,185.0,25.7,4.0,7450.0,2.0,10175.0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
28,16,188.0,28.6,183.0,27.7,49.0,901.0,75.0,678.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
28,3,190.0,30.7,185.0,29.1,23.0,1575.0,66.0,750.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
32,271,180.0,28.9,198.0,21.6,44.0,1071.0,64.0,819.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
4,1,175.0,23.4,183.0,27.8,309.0,151.0,497.0,68.0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
64,130,185.0,32.3,188.0,25.0,107.0,575.0,157.0,366.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
32,23,185.0,28.6,183.0,26.8,27.0,1365.0,17.0,2020.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
64,255,191.0,23.9,190.0,35.1,96.0,622.0,46.0,970.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
32,6,185.0,23.3,183.0,25.2,90.0,593.0,61.0,780.0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
28,4,188.0,26.1,185.0,30.5,138.0,407.0,234.0,215.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
56,27,178.0,27.0,185.0,23.0,117.0,468.0,140.0,378.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
28,6,185.0,32.8,188.0,26.5,63.0,790.0,37.0,1118.0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0
56,21,183.0,26.7,198.0,23.6,13.0,2255.0,23.0,1415.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
28,2,183.0,33.5,186.4135888205448,25.9,85.0,586.0,451.0,84.0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
