iter	Logloss
0	0.6929311281
1	0.6927101842
2	0.6926074899
3	0.692418813
4	0.6922848764
5	0.6921319956
6	0.6920158999
7	0.6918976285
8	0.6916597508
9	0.6915416853
10	0.691384956
11	0.6913327209
12	0.6911197386
13	0.6910379417
14	0.6908853555
15	0.6908195341
16	0.6906940507
17	0.6905643407
18	0.6904649127
19	0.6903685989
20	0.6902821186
21	0.6901476975
22	0.6900817876
23	0.6899640479
24	0.6898105452
25	0.6896409978
26	0.6894968223
27	0.6893302993
28	0.6891620323
29	0.6890899812
30	0.688828917
31	0.688776488
32	0.6886885378
33	0.6885979112
34	0.6884480877
35	0.6883323887
36	0.6881463102
37	0.6880624348
38	0.6879814876
39	0.6879159737
40	0.687799743
41	0.6877595246
42	0.6875665725
43	0.687475836
44	0.687437359
45	0.6873114189
46	0.6871152941
47	0.6869421032
48	0.6868238719
49	0.6866971664
50	0.6866351663
51	0.6865246713
52	0.6864261629
53	0.6862526346
54	0.6861688562
55	0.686006848
56	0.6859657142
57	0.685898779
58	0.6857755616
59	0.6856696874
60	0.6856304805
61	0.6854160093
62	0.6853839455
63	0.6852126819
64	0.6850715588
65	0.68486373
66	0.6846591819
67	0.6845503297
68	0.6844873656
69	0.6843494452
70	0.6842225924
71	0.6841142976
72	0.6839517571
73	0.683951757
74	0.683838749
75	0.6837585698
76	0.6836830025
77	0.6835338697
78	0.6834638404
79	0.6833894776
80	0.6833527818
81	0.6832593861
82	0.6831558056
83	0.6830159191
84	0.6829315832
85	0.6828242177
86	0.6827777178
87	0.6826666988
88	0.6825165984
89	0.6823882237
90	0.6822320991
91	0.682152778
92	0.6819627347
93	0.6819003846
94	0.6818584266
95	0.6817144665
96	0.6816198872
97	0.6815159083
98	0.681329842
99	0.6812711989
