iter	Passed	Remaining
0	43	4287
1	86	4235
2	131	4262
3	178	4273
4	224	4265
5	273	4284
6	326	4341
7	372	4279
8	416	4213
9	462	4159
10	511	4142
11	557	4086
12	617	4132
13	665	4088
14	715	4055
15	766	4026
16	817	3991
17	864	3940
18	910	3883
19	963	3855
20	1031	3880
21	1081	3833
22	1129	3780
23	1179	3734
24	1235	3706
25	1284	3655
26	1330	3597
27	1375	3537
28	1437	3519
29	1501	3504
30	1569	3493
31	1646	3497
32	1711	3474
33	1769	3435
34	1832	3403
35	1885	3351
36	1989	3386
37	2034	3319
38	2078	3250
39	2134	3201
40	2180	3138
41	2226	3074
42	2271	3010
43	2316	2948
44	2369	2895
45	2425	2847
46	2471	2787
47	2518	2728
48	2565	2669
49	2628	2628
50	2675	2570
51	2727	2517
52	2777	2462
53	2841	2420
54	2910	2381
55	2974	2336
56	3046	2297
57	3106	2249
58	3157	2194
59	3204	2136
60	3250	2078
61	3297	2021
62	3348	1966
63	3395	1910
64	3442	1853
65	3489	1797
66	3538	1742
67	3608	1697
68	3676	1651
69	3737	1601
70	3794	1549
71	3857	1499
72	3913	1447
73	3931	1381
74	3990	1330
75	4052	1279
76	4106	1226
77	4157	1172
78	4205	1118
79	4258	1064
80	4308	1010
81	4368	958
82	4423	906
83	4482	853
84	4545	802
85	4624	752
86	4695	701
87	4756	648
88	4817	595
89	4872	541
90	4923	486
91	4972	432
92	5022	378
93	5080	324
94	5150	271
95	5218	217
96	5285	163
97	5354	109
98	5410	54
99	5463	0
